,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
230,Cananea,MX,30.95,-110.3,39.74,88,94,15.55,overcast clouds
231,Buctzotz,MX,21.2,-88.7833,69.26,90,39,7.23,scattered clouds
232,Valparai,IN,10.3667,76.9667,73.67,44,96,5.14,overcast clouds
233,Tabou,CI,4.423,-7.3528,74.19,82,0,2.08,clear sky
234,Dingle,PH,10.9995,122.6711,81.99,80,100,13.38,overcast clouds
235,Zharkent,KZ,44.1628,80.0,24.6,73,38,1.74,scattered clouds
236,Tobe,JP,33.7447,132.7901,50.9,46,20,5.75,few clouds
237,Honningsvag,NO,70.9821,25.9704,33.55,93,75,3.44,snow
238,Amahai,ID,-3.3333,128.9167,88.48,59,100,5.19,overcast clouds
239,Sao Geraldo Do Araguaia,BR,-6.4006,-48.555,71.92,96,66,2.17,broken clouds
240,Hasaki,JP,35.7333,140.8333,49.21,39,8,6.71,clear sky
241,Sur,OM,22.5667,59.5289,75.9,57,43,24.29,scattered clouds
242,Buraydah,SA,26.326,43.975,52.25,75,100,13.82,heavy intensity rain
243,Bengkulu,ID,-3.8004,102.2655,82.94,67,90,7.7,overcast clouds
244,Obo,CF,5.3998,26.4869,76.33,33,17,8.03,few clouds
245,Vibo Valentia,IT,38.6996,16.1274,39.79,70,3,3.71,clear sky
246,Macusani,PE,-14.0833,-70.4333,38.14,87,100,2.08,overcast clouds
247,Saint-Francois,FR,46.4154,3.9054,58.44,55,0,12.66,clear sky
248,Libertador General San Martin,AR,-23.8064,-64.7876,71.98,94,100,0.45,overcast clouds
249,Amapa,BR,1.0,-52.0,69.91,99,99,1.92,overcast clouds
250,Celestun,MX,20.8667,-90.4,75.58,71,18,14.52,few clouds
251,Rundu,NA,-17.9333,19.7667,68.76,77,83,10.8,broken clouds
252,Terrace Bay,CA,48.7834,-87.1,17.46,92,63,7.18,broken clouds
253,Mount Isa,AU,-20.7333,139.5,78.57,100,98,5.75,light intensity shower rain
254,Litovko,RU,49.2361,135.1742,-10.48,90,71,0.58,broken clouds
255,Grand-Santi,GF,4.25,-54.3833,71.51,100,100,0.81,overcast clouds
256,Eganville,CA,45.5334,-77.0994,29.66,97,98,3.71,light snow
257,Beeville,US,28.4008,-97.7483,72.63,100,100,13.8,overcast clouds
258,Savannah Bight,HN,16.45,-85.85,80.08,76,83,18.63,broken clouds
259,Lompoc,US,34.6391,-120.4579,50.77,92,0,4.61,clear sky
260,Jodhpur,IN,26.2867,73.03,68.36,23,36,7.45,scattered clouds
261,Saint Anthony,US,45.0205,-93.218,24.75,87,100,6.91,mist
262,Nhulunbuy,AU,-12.2333,136.7667,77.61,94,75,11.5,moderate rain
263,Odessa,UA,46.4775,30.7326,45.37,85,13,7.34,few clouds
264,Victor Harbor,AU,-35.5667,138.6167,75.69,71,8,4.0,clear sky
265,Sawakin,SD,19.1059,37.3321,76.24,81,98,13.85,overcast clouds
266,Zapolyarnyy,RU,69.4154,30.8136,29.48,97,100,2.3,overcast clouds
267,Faanui,PF,-16.4833,-151.75,80.85,76,30,13.27,scattered clouds
268,Christchurch,NZ,-43.5333,172.6333,67.41,64,75,23.02,broken clouds
269,Dharchula,IN,29.85,80.5333,61.07,22,0,6.02,clear sky
270,Iracoubo,GF,5.4802,-53.2011,74.44,92,100,4.88,overcast clouds
271,Zhezkazgan,KZ,47.8043,67.7144,26.58,86,100,15.66,light snow
272,Manassas,US,38.751,-77.4753,54.73,81,74,2.64,broken clouds
273,La Ronge,CA,55.1001,-105.2842,16.05,92,75,3.44,broken clouds
274,Aranos,NA,-24.1333,19.1167,79.21,45,41,14.41,scattered clouds
275,Taoudenni,ML,22.6783,-3.9836,61.63,16,0,8.77,clear sky
276,Mahajanga,MG,-15.7167,46.3167,86.02,66,40,5.75,light rain
277,Volterra,IT,43.4003,10.86,52.43,93,19,3.4,few clouds
278,Isangel,VU,-19.55,169.2667,87.91,79,75,4.61,broken clouds
279,Giresun,TR,40.5,38.5,20.52,46,0,2.08,clear sky
280,Kahului,US,20.8947,-156.47,76.84,78,0,3.44,clear sky
281,Dossor,KZ,47.5272,52.9811,38.25,97,100,21.39,light rain
282,Cidreira,BR,-30.1811,-50.2056,72.57,93,99,18.97,overcast clouds
283,Teguldet,RU,57.3064,88.1667,12.74,92,99,8.14,overcast clouds
284,Iralaya,HN,15.0,-83.2333,76.91,86,8,10.6,light rain
285,Harbour Breton,CA,47.4833,-55.7983,35.78,87,100,22.03,light rain
286,Kurilsk,RU,45.2333,147.8833,19.98,80,99,17.58,snow
287,Santa Rosa,PH,14.3122,121.1114,89.11,68,39,14.2,scattered clouds
288,Eqbaliyeh,IR,35.3022,51.5358,46.22,40,1,3.67,clear sky
289,Matagami,CA,49.7502,-77.6328,26.71,93,100,3.44,light snow
290,Shimoda,JP,34.6667,138.95,52.16,52,99,11.41,overcast clouds
