City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
490,Tuatapere,NZ,63.77,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
494,Praia,CV,72.14,few clouds,14.9215,-23.5087,LT Aparthotel
497,Paraiso,CR,63.46,few clouds,9.8383,-83.8656,Hotel Rinconcito Verde
498,Xaxim,BR,75.58,moderate rain,-26.9617,-52.5347,Hotel São Luiz
504,Basco,PH,74.46,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
509,Axim,GH,75.54,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
510,Barra Patuca,HN,76.37,light rain,15.8,-84.2833,
512,Iquitos,PE,71.64,overcast clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
513,Faya,SA,62.71,broken clouds,18.3851,42.4509,شيلة نسايم
521,Richards Bay,ZA,77.16,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
522,Songea,TZ,69.15,broken clouds,-10.6833,35.65,mtakuja
525,Chone,EC,73.36,light rain,-0.6833,-80.1,Ciudadela Gonzalez
526,Piacabucu,BR,75.58,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
529,Poum,NC,79.39,clear sky,-20.2333,164.0167,
530,Guangzhou,CN,66.87,overcast clouds,23.1167,113.25,Shangjiuwan Hotel
537,Belmonte,BR,73.96,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
538,Del Rio,US,62.71,clear sky,29.3627,-100.8968,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
539,Monrovia,LR,71.37,few clouds,6.3005,-10.7969,Sunset Inn
541,Tutoia,BR,78.01,broken clouds,-2.7619,-42.2744,Pousada Guará's
542,Savalou,BJ,71.31,overcast clouds,7.9281,1.9756,Hotel F&F
543,Panguna,PG,75.88,light rain,-6.3164,155.4848,
547,Armidale,AU,76.95,scattered clouds,-30.5167,151.65,Abbotsleigh Motor Inn
551,Taruma,BR,68.7,overcast clouds,-22.7467,-50.5772,Hotel Tarumã Alvorada
557,Abha,SA,62.42,scattered clouds,18.2164,42.5053,Abha Hotel
558,Maceio,BR,74.64,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
559,Porto Walter,BR,68.2,overcast clouds,-8.2686,-72.7439,Hotel Silva
562,Nkhotakota,MW,78.66,scattered clouds,-12.9274,34.2961,Sitima Inn
564,Plettenberg Bay,ZA,73.4,clear sky,-34.0527,23.3716,Thanda Vista B&B
570,Dovers,VC,76.37,moderate rain,12.8833,-61.1833,Ocean Breeze
572,Gamba,GA,76.75,overcast clouds,-2.65,10.0,
573,Beira,MZ,78.89,light rain,-19.8436,34.8389,Beira Terrace Hotel
576,Pauini,BR,68.45,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
577,Biltine,TD,64.67,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
580,Amarpur,IN,74.93,clear sky,25.0333,86.9,Amit kirana store
582,Ahuimanu,US,75.2,broken clouds,21.4447,-157.8378,Paradise Bay Resort
584,Rustenburg,ZA,71.64,clear sky,-25.6676,27.2421,Rustenburg Boutique Hotel
588,Tucuman,AR,69.8,overcast clouds,-26.8241,-65.2226,Hotel Premier
596,Port Macquarie,AU,76.89,clear sky,-31.4333,152.9167,Rydges Port Macquarie
599,San Rafael,AR,67.62,scattered clouds,-34.6177,-68.3301,Hotel San Rafael
605,Marsa Matruh,EG,64.6,moderate rain,31.3525,27.2453,Beau Site
606,Lang Son,VN,63.59,overcast clouds,21.8333,106.7333,Khai Nga Hotel
607,Uige,AO,66.13,moderate rain,-7.6087,15.0613,Hotel Catraio
609,Bandarbeyla,SO,78.46,scattered clouds,9.4942,50.8122,JABIR HOTEL
611,Tarauaca,BR,68.7,overcast clouds,-8.1614,-70.7656,Flat Temporada
613,Comodoro Rivadavia,AR,60.66,overcast clouds,-45.8667,-67.5,Austral Hotel
614,Kirakira,SB,79.63,moderate rain,-10.4544,161.9205,SanBiz Lodge
617,Mogwase,ZA,71.55,clear sky,-25.185,27.2665,De Skaap Accommodation & Event Venue
618,Ribeira Brava,PT,62.71,overcast clouds,32.65,-17.0667,Hotel do Campo
619,Salinopolis,BR,77.68,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
